,Dropped,RMSE,Diff from Base
115,"[1299, 496, 917]",0.12100916768,-0.00402350014854
412,"[524, 692, 31, 496, 534, 917]",0.121014352366,-0.00401831546259
281,"[524, 692, 31, 496, 534]",0.121035080752,-0.00399758707708
456,"[692, 1299, 31, 534, 917, 969]",0.121036852602,-0.00399581522689
354,"[692, 1299, 496, 917, 969]",0.121039062681,-0.00399360514766
81,"[692, 1299, 496]",0.121039793718,-0.00399287411056
322,"[524, 31, 496, 534, 969]",0.121045062427,-0.0039876054013
205,"[692, 1299, 496, 534]",0.12104600025,-0.00398666757899
301,"[524, 1183, 31, 496, 534]",0.121047121168,-0.0039855466605
379,"[1299, 31, 534, 917, 969]",0.121070906445,-0.00396176138372
25,"[1183, 1299]",0.121074023719,-0.00395864410977
260,"[524, 692, 1183, 1299, 969]",0.121076157377,-0.00395651045168
333,"[692, 1183, 1299, 534, 917]",0.121077076746,-0.00395559108267
74,"[692, 1183, 1299]",0.121081693755,-0.00395097407331
188,"[692, 1183, 1299, 534]",0.121084855396,-0.00394781243278
350,"[692, 1299, 31, 534, 969]",0.12109149031,-0.00394117751836
246,"[1299, 31, 917, 969]",0.121094187387,-0.00393848044147
204,"[692, 1299, 31, 969]",0.121097139691,-0.00393552813716
98,"[1183, 1299, 917]",0.121098081448,-0.00393458638036
228,"[1183, 1299, 534, 917]",0.121103059407,-0.00392960842196
446,"[692, 1183, 1299, 496, 917, 969]",0.121108458434,-0.00392420939467
189,"[692, 1183, 1299, 917]",0.12111674124,-0.00391592658816
369,"[1183, 1299, 496, 917, 969]",0.121125991576,-0.00390667625223
97,"[1183, 1299, 534]",0.121126989188,-0.00390567864095
142,"[524, 692, 31, 534]",0.121128994688,-0.00390367314068
143,"[524, 692, 31, 917]",0.121130541735,-0.00390212609315
113,"[1299, 31, 969]",0.121136602644,-0.0038960651843
245,"[1299, 31, 534, 969]",0.121143055128,-0.00388961270066
54,"[524, 1183, 31]",0.121153155428,-0.00387951240018
498,"[692, 1183, 1299, 496, 534, 917, 969]",0.121154679109,-0.00387798872002
247,"[1299, 496, 534, 917]",0.121182668764,-0.00384999906422
32,"[1299, 496]",0.121184977108,-0.00384769072113
299,"[524, 1183, 1299, 534, 969]",0.121188737617,-0.00384393021158
476,"[524, 692, 1183, 31, 496, 534, 917]",0.121190880366,-0.00384178746259
324,"[524, 31, 534, 917, 969]",0.121193973915,-0.00383869391366
114,"[1299, 496, 534]",0.121207826539,-0.00382484128928
302,"[524, 1183, 31, 496, 917]",0.121210302733,-0.00382236509576
393,"[524, 692, 1183, 31, 496, 917]",0.121212225631,-0.00382044219781
264,"[524, 692, 1183, 31, 969]",0.121212896233,-0.00381977159591
82,"[692, 1299, 534]",0.121217059214,-0.00381560861415
158,"[524, 1183, 31, 917]",0.121230446937,-0.00380222089211
117,"[1299, 534, 917]",0.121243124165,-0.00378954366365
157,"[524, 1183, 31, 534]",0.12124454345,-0.00378812437889
332,"[692, 1183, 1299, 496, 969]",0.121250989942,-0.00378167788627
304,"[524, 1183, 31, 534, 917]",0.12125251268,-0.00378015514902
261,"[524, 692, 1183, 31, 496]",0.121269719623,-0.00376294820555
445,"[692, 1183, 1299, 496, 534, 969]",0.121274295726,-0.00375837210255
320,"[524, 1299, 534, 917, 969]",0.121294162652,-0.00373850517665
463,"[1183, 1299, 496, 534, 917, 969]",0.121306227146,-0.00372644068275
367,"[1183, 1299, 496, 534, 917]",0.121310307829,-0.00372235999964
368,"[1183, 1299, 496, 534, 969]",0.121328724304,-0.00370394352424
397,"[524, 692, 1183, 31, 917, 969]",0.121333946716,-0.00369872111313
33,"[1299, 534]",0.121336175217,-0.00369649261152
208,"[692, 1299, 534, 917]",0.121354701143,-0.00367796668607
227,"[1183, 1299, 496, 969]",0.121357050354,-0.00367561747505
4,[1299],0.121361254678,-0.00367141315098
83,"[692, 1299, 917]",0.121369611119,-0.00366305670951
486,"[524, 692, 31, 496, 534, 917, 969]",0.121380301793,-0.00365236603525
131,"[524, 692, 1183, 31]",0.121422971708,-0.00360969612089
207,"[692, 1299, 496, 969]",0.121429880525,-0.00360278730367
34,"[1299, 917]",0.121452195992,-0.00358047183687
353,"[692, 1299, 496, 534, 969]",0.121459900531,-0.003572767298
457,"[692, 1299, 496, 534, 917, 969]",0.121502383532,-0.00353028429653
249,"[1299, 496, 917, 969]",0.121564136217,-0.00346853161179
145,"[524, 692, 496, 534]",0.121573474248,-0.00345919358067
19,"[692, 1299]",0.121578813792,-0.00345385403679
380,"[1299, 496, 534, 917, 969]",0.1215806524,-0.00345201542884
14,"[524, 496]",0.121583379354,-0.003449288475
262,"[524, 692, 1183, 31, 534]",0.121591952298,-0.00344071553042
263,"[524, 692, 1183, 31, 917]",0.121615595021,-0.00341707280782
248,"[1299, 496, 534, 969]",0.121620774856,-0.00341189297262
183,"[524, 496, 534, 969]",0.121647668562,-0.00338499926709
99,"[1183, 1299, 969]",0.121671091666,-0.00336157616275
190,"[692, 1183, 1299, 969]",0.121673183903,-0.0033594839252
394,"[524, 692, 1183, 31, 496, 969]",0.121688161756,-0.00334450607219
335,"[692, 1183, 1299, 917, 969]",0.121706714576,-0.0033259532529
69,"[524, 496, 917]",0.121707380933,-0.00332528689539
15,"[524, 534]",0.12171002479,-0.00332264303824
229,"[1183, 1299, 534, 969]",0.121733706958,-0.00329896087082
230,"[1183, 1299, 917, 969]",0.121733768387,-0.003298899442
478,"[524, 692, 1183, 31, 496, 917, 969]",0.121746922328,-0.00328574550026
370,"[1183, 1299, 534, 917, 969]",0.121750242287,-0.00328242554121
181,"[524, 31, 917, 969]",0.12176151255,-0.00327115527901
133,"[524, 692, 1183, 534]",0.121764367958,-0.00326829987104
427,"[524, 1183, 31, 496, 534, 917]",0.12178000137,-0.00325266645884
413,"[524, 692, 31, 496, 534, 969]",0.121795567419,-0.00323710040937
334,"[692, 1183, 1299, 534, 969]",0.121802701296,-0.0032299665328
507,"[524, 692, 1183, 31, 496, 534, 917, 969]",0.121804379934,-0.00322828789506
209,"[692, 1299, 534, 969]",0.121817306019,-0.00321536180951
84,"[692, 1299, 969]",0.121818800032,-0.00321386779659
303,"[524, 1183, 31, 496, 969]",0.12182317204,-0.00320949578858
429,"[524, 1183, 31, 496, 917, 969]",0.121827648747,-0.00320501908167
415,"[524, 692, 31, 534, 917, 969]",0.121850592272,-0.00318207555624
285,"[524, 692, 31, 534, 969]",0.121855657387,-0.00317701044137
144,"[524, 692, 31, 969]",0.121856244863,-0.00317642296579
210,"[692, 1299, 917, 969]",0.121864422817,-0.00316824501139
447,"[692, 1183, 1299, 534, 917, 969]",0.121871194032,-0.00316147379619
159,"[524, 1183, 31, 969]",0.121894420495,-0.00313824733323
492,"[524, 1183, 31, 496, 534, 917, 969]",0.121900671006,-0.00313199682257
305,"[524, 1183, 31, 534, 969]",0.121908127554,-0.00312454027443
355,"[692, 1299, 534, 917, 969]",0.12191151347,-0.00312115435832
306,"[524, 1183, 31, 917, 969]",0.121924246711,-0.00310842111774
10,"[524, 692]",0.121925234967,-0.00310743286172
266,"[524, 692, 1183, 496, 917]",0.12194982514,-0.00308284268827
51,"[524, 692, 917]",0.121955519599,-0.0030771482295
35,"[1299, 969]",0.121963189202,-0.00306947862636
430,"[524, 1183, 31, 534, 917, 969]",0.121966703123,-0.00306596470605
118,"[1299, 534, 969]",0.121978922106,-0.00305374572243
148,"[524, 692, 534, 917]",0.121983877592,-0.00304879023703
49,"[524, 692, 496]",0.122000474139,-0.00303219368939
250,"[1299, 534, 917, 969]",0.122002133535,-0.00303053429393
119,"[1299, 917, 969]",0.122006945193,-0.00302572263605
184,"[524, 496, 917, 969]",0.122012621042,-0.00302004678678
396,"[524, 692, 1183, 31, 534, 969]",0.122027073842,-0.00300559398708
70,"[524, 496, 969]",0.122029929989,-0.00300273783968
56,"[524, 1183, 534]",0.122033681521,-0.00299898630737
